"RMSE";"Rsquared";"MAE";"Model";"Floor";"Building";"LongLat";"approach"
10,0064733532692;0,891786222846849;5,48861534452465;"kknn";"F3";"B0";"Lat";"OnlyTrain"
7,79468599798171;0,919425823791308;4,82984124877833;"kknn";"F3";"B0";"Long";"OnlyTrain"
9,15114475513581;0,914010144588141;6,74870599167022;"glmnet";"F3";"B0";"Lat";"OnlyTrain"
8,23033669315115;0,911423087729179;6,15850770936713;"glmnet";"F3";"B0";"Long";"OnlyTrain"
5,39197402619876;0,967944554915593;3,21005546581665;"rf";"F3";"B0";"Lat";"OnlyTrain"
5,69997416477715;0,956443276961935;3,42752380423084;"rf";"F3";"B0";"Long";"OnlyTrain"
5,05248544931137;0,972414268558708;2,87473134401121;"knn";"F3";"B0";"Lat";"OnlyTrain"
4,46279156298951;0,972883999720795;2,68297099272282;"knn";"F3";"B0";"Long";"OnlyTrain"
7,71428863886878;0,934842098830524;3,96291343508166;"kknn";"F0";"B0";"Lat";"OnlyTrain"
6,09756964075382;0,934592238563631;3,70446060911557;"kknn";"F0";"B0";"Long";"OnlyTrain"
9,75029519622036;0,895954585183278;6,83122035453137;"glmnet";"F0";"B0";"Lat";"OnlyTrain"
10,0053862434909;0,838018763404901;6,9831274196309;"glmnet";"F0";"B0";"Long";"OnlyTrain"
6,00834505615121;0,960902115286782;3,38026701390444;"rf";"F0";"B0";"Lat";"OnlyTrain"
7,45894892774739;0,902879031633518;3,93886287595144;"rf";"F0";"B0";"Long";"OnlyTrain"
4,01869819602783;0,982480882324125;2,64377467691844;"knn";"F0";"B0";"Lat";"OnlyTrain"
6,02805035142695;0,940337483285702;3,22151261070008;"knn";"F0";"B0";"Long";"OnlyTrain"
9,93607982500761;0,935293098670138;5,01239068514911;"kknn";"F1";"B1";"Lat";"OnlyTrain"
11,8182824667066;0,922563532052812;5,37866048146166;"kknn";"F1";"B1";"Long";"OnlyTrain"
13,3021155106551;0,898304523537024;9,55458070903487;"glmnet";"F1";"B1";"Lat";"OnlyTrain"
16,1024526275859;0,853787119510648;12,1222919118794;"glmnet";"F1";"B1";"Long";"OnlyTrain"
6,68100988835633;0,974636387885687;3,9899542867295;"rf";"F1";"B1";"Lat";"OnlyTrain"
6,30480950729867;0,976155494546438;4,08714127978938;"rf";"F1";"B1";"Long";"OnlyTrain"
7,92108635151792;0,95848243726143;3,97213793162755;"knn";"F1";"B1";"Lat";"OnlyTrain"
7,78080937541929;0,965464463940226;3,9479936186587;"knn";"F1";"B1";"Long";"OnlyTrain"
